Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IGL,EQ,28-Apr-16,572,570.8,575.5,569.85,574.25,572,573.43,420932,241373232.9,10545,211332,50.21
IGL,EQ,29-Apr-16,572,570,578.45,570,574,573.3,574.36,451956,259583847.2,17820,193492,42.81
IGL,EQ,2-May-16,573.3,579,588,576.1,583.5,583.3,582.8,583437,340028366.7,22680,180634,30.96
IGL,EQ,3-May-16,583.3,587.9,587.9,567.4,567.5,570.5,576.81,705656,407029794.1,17250,451042,63.92
IGL,EQ,4-May-16,570.5,567.9,575.4,565,571.2,571.6,571.65,400459,228922794.1,26922,197763,49.38
IGL,EQ,5-May-16,571.6,573.3,573.8,558.05,560.1,562.15,566.28,311400,176338456.6,11885,95338,30.62
IGL,EQ,6-May-16,562.15,560.95,576,556.6,574.55,573.2,569.32,523698,298150030.3,20126,148773,28.41
IGL,EQ,9-May-16,573.2,576,576.9,570.6,572.55,574.55,573.96,310795,178382380.7,9302,147884,47.58
IGL,EQ,10-May-16,574.55,576.9,576.9,568,572,571.85,572.1,336266,192378419,8135,103599,30.81
IGL,EQ,11-May-16,571.85,568,570.4,565,569.2,566.9,567.75,292118,165850902.9,11146,60523,20.72
IGL,EQ,12-May-16,566.9,570,580.25,567.25,570.45,568.8,572.87,534391,306137838,18330,204424,38.25
IGL,EQ,13-May-16,568.8,570.45,574.55,562.05,568.2,568.45,569.77,371200,211498357,11938,93103,25.08
IGL,EQ,16-May-16,568.45,576.95,580.95,566.1,574,574.35,574.39,1622311,931846316.2,18294,1165366,71.83
IGL,EQ,17-May-16,574.35,575.05,593.9,575.05,591.5,591.35,589.47,1810029,1066950311,27332,1197777,66.17
IGL,EQ,18-May-16,591.35,590.3,606.2,577.35,578.95,579.95,594.43,966844,574716826.7,32944,257182,26.6
IGL,EQ,19-May-16,579.95,582,586,574,576.2,575.2,579.19,513374,297339047.7,39090,280003,54.54
IGL,EQ,20-May-16,575.2,576.9,579,569,569.05,570,572.98,532185,304929032.3,19324,264929,49.78
IGL,EQ,23-May-16,570,571.05,574.25,566.5,568,567.9,571.19,267092,152561147.6,15128,97983,36.69
IGL,EQ,24-May-16,567.9,567.7,572.9,564.3,567.5,569.3,568.82,375432,213553500.2,21548,157341,41.91
IGL,EQ,25-May-16,569.3,570,576.4,568.45,568.9,569.75,571.25,316411,180749716.2,8695,136570,43.16
IGL,EQ,26-May-16,569.75,578,578.6,563,569,569.1,569.74,601276,342571680.7,17992,206300,34.31
IGL,EQ,27-May-16,569.1,568.35,579.45,567.8,575,574.3,574.24,242179,139067920.9,8798,65981,27.24
